year,Temperature,Precipitation,SeaIceFraction,CO2Concentration,EnergyBalance
2052,16.22567749,3.55E-05,5.54,552.2,1.6016
2053,16.17572022,3.54E-05,5.58,558.2,1.8142
2054,16.14529419,3.54E-05,5.57,564.3,2.1110
2055,16.32315064,3.55E-05,5.66,570.5,1.7860
2056,16.40130615,3.54E-05,5.56,576.8,1.8620
2057,16.41595459,3.55E-05,5.43,583.3,1.9764
2058,16.50234985,3.55E-05,5.54,589.9,2.0145
2059,16.56985474,3.57E-05,5.46,596.6,1.7071
2060,16.60064697,3.55E-05,5.33,603.5,1.9756
2061,16.54296875,3.54E-05,5.51,610.5,2.2324
2062,16.79101563,3.58E-05,5.23,617.6,1.8193
2063,16.83734131,3.58E-05,5.04,624.8,1.6104
2064,16.73339844,3.58E-05,4.89,632.0,1.7954
2065,16.85494995,3.56E-05,4.99,639.3,2.2538
2066,16.9012146,3.58E-05,5.22,646.7,1.8835
2067,16.92572022,3.59E-05,5.17,654.1,1.8343
2068,16.91799927,3.59E-05,5.02,661.6,2.2688
2069,17.03140259,3.58E-05,5.10,669.3,2.2117
2070,17.20233154,3.60E-05,4.94,677.1,1.9470
2071,17.12930298,3.60E-05,5.04,685.0,1.5953
2072,17.02789307,3.60E-05,4.83,692.9,2.2241
2073,17.00320435,3.58E-05,4.87,700.9,2.3609
2074,17.25097656,3.59E-05,4.84,708.9,2.4800
2075,17.4019165,3.62E-05,4.64,717.0,1.8503
2076,17.35925293,3.61E-05,4.63,725.1,2.1833
2077,17.43499756,3.60E-05,4.55,733.3,2.4082
2078,17.60482788,3.61E-05,4.46,741.5,2.1645
2079,17.71691895,3.64E-05,4.21,749.8,2.0974
2080,17.5296936,3.63E-05,4.41,758.2,1.9951
2081,17.65219116,3.62E-05,4.36,766.6,2.2933
2082,17.68737793,3.64E-05,4.40,775.2,2.4409
2083,17.73355103,3.64E-05,4.20,783.8,2.2314
2084,17.69830322,3.64E-05,4.30,792.4,1.6861
2085,17.68765259,3.62E-05,4.27,801.0,2.6992
2086,17.81729126,3.63E-05,4.09,809.7,2.6734
2087,17.88253784,3.63E-05,4.01,818.4,2.2893
2088,18.03018189,3.65E-05,3.75,827.2,2.4779
2089,18.08200073,3.64E-05,3.85,836.0,2.4311
2090,18.22650147,3.67E-05,3.63,844.8,2.0608
2091,18.17059326,3.65E-05,3.73,853.7,2.4177
2092,18.26501465,3.68E-05,3.80,862.7,1.8258
2093,18.23886108,3.66E-05,3.72,871.8,2.1664
2094,18.0435791,3.64E-05,3.98,880.9,2.2000
2095,18.2576294,3.67E-05,3.85,890.0,2.4331
2096,18.29614258,3.67E-05,3.88,899.1,2.0194
2097,18.13134766,3.63E-05,3.88,908.3,2.6430
2098,18.26986694,3.66E-05,3.67,917.5,3.0121
2099,18.43325806,3.67E-05,3.64,926.7,2.1716
2100,18.44464111,3.66E-05,3.63,935.9,2.2582
2101,18.56234741,3.68E-05,3.47,945.1,2.1964
2102,18.49679565,3.68E-05,3.57,954.5,2.4933
2103,18.62774658,3.68E-05,3.56,963.8,2.7208
2104,18.71453857,3.72E-05,3.52,973.2,2.3118
2105,18.45956421,3.69E-05,3.57,982.7,2.9426
2106,18.48742676,3.69E-05,3.67,992.1,2.6923
2107,18.52139282,3.67E-05,3.53,1001.6,2.5063
2108,18.5935669,3.68E-05,3.49,1011.1,2.5335
2109,18.6300354,3.69E-05,3.53,1020.6,2.8598
2110,18.74475098,3.68E-05,3.49,1030.1,2.8317
2111,18.80029297,3.70E-05,3.47,1039.6,2.6736
2112,18.8505249,3.70E-05,3.43,1049.1,2.5055
2113,18.96621704,3.70E-05,3.35,1058.7,2.4269
2114,18.92477417,3.70E-05,3.22,1068.3,2.4704
2115,18.90560913,3.72E-05,2.99,1078.0,2.7131
2116,18.91748047,3.70E-05,3.13,1087.7,2.7632
2117,19.07180786,3.72E-05,2.94,1097.4,2.7231
2118,19.04400635,3.72E-05,2.94,1107.2,2.2600
2119,19.15194702,3.70E-05,2.91,1116.9,2.8156
2120,19.13659668,3.70E-05,2.93,1126.7,2.7188
2121,19.16116333,3.70E-05,2.91,1136.4,3.0642
2122,19.11315918,3.72E-05,3.05,1146.1,2.8047
2123,19.18554688,3.71E-05,3.08,1155.9,2.9926
2124,19.30209351,3.72E-05,3.03,1165.7,3.0675
2125,19.43026733,3.74E-05,2.68,1175.6,2.4145
2126,19.37384033,3.73E-05,2.83,1185.5,2.6273
2127,19.34017944,3.71E-05,2.71,1195.5,2.8284
2128,19.412323,3.73E-05,2.59,1205.5,2.9614
2129,19.46270752,3.73E-05,2.73,1215.5,2.7747
2130,19.56091309,3.74E-05,2.66,1225.5,2.9994
2131,19.64828491,3.75E-05,2.59,1235.4,2.7298
2132,19.69955444,3.74E-05,2.55,1245.4,2.9582
2133,19.69232178,3.74E-05,2.53,1255.4,2.9289
2134,19.77633667,3.75E-05,2.42,1265.4,2.9551
2135,19.89456177,3.76E-05,2.34,1275.5,2.7304
2136,19.93682861,3.78E-05,2.22,1285.6,2.2698
2137,19.84396362,3.75E-05,2.25,1295.8,2.9718
2138,19.8788147,3.77E-05,2.16,1306.0,2.6073
2139,19.83468628,3.75E-05,2.34,1316.2,2.9198
2140,19.71618652,3.74E-05,2.52,1326.4,3.1086
2141,19.91189575,3.76E-05,2.42,1336.6,3.0156
2142,19.97445679,3.78E-05,2.23,1346.9,2.6174
2143,19.84143066,3.73E-05,2.34,1357.1,2.9854
2144,19.88854981,3.74E-05,2.25,1367.3,3.1479
2145,20.07382202,3.78E-05,2.33,1377.5,2.9423
2146,20.20748901,3.79E-05,2.08,1387.8,2.8553
2147,20.08026123,3.76E-05,1.93,1398.1,3.0134
2148,19.97311401,3.75E-05,2.06,1408.5,3.2259
2149,20.14770508,3.75E-05,2.10,1418.9,3.4036
2150,20.35113525,3.79E-05,2.06,1429.4,2.9100
2151,20.22723389,3.79E-05,1.97,1439.8,2.5746
2152,20.22763062,3.77E-05,1.88,1450.2,2.7320
2153,20.1852417,3.76E-05,1.90,1460.5,3.0131
2154,20.27859497,3.76E-05,2.07,1470.6,3.1884
2155,20.31619263,3.77E-05,1.91,1480.6,3.3400
2156,20.36166382,3.75E-05,1.85,1490.5,3.0759
2157,20.45175171,3.79E-05,1.99,1500.3,2.9778
2158,20.46777344,3.78E-05,1.88,1510.1,2.9954
2159,20.53469849,3.79E-05,1.76,1519.7,2.7535
2160,20.42144775,3.78E-05,1.65,1529.3,3.0547
2161,20.39526367,3.78E-05,1.79,1538.8,3.1059
2162,20.45739746,3.77E-05,1.70,1548.2,3.1173
2163,20.64376831,3.80E-05,1.48,1557.5,2.9295
2164,20.62756348,3.78E-05,1.55,1566.7,3.1698
2165,20.50637817,3.77E-05,1.63,1575.7,3.4290
2166,20.56155396,3.78E-05,1.64,1584.6,3.3020
2167,20.68865967,3.79E-05,1.57,1593.4,3.0627
2168,20.78213501,3.80E-05,1.45,1602.1,2.8810
2169,20.77389526,3.81E-05,1.43,1610.8,2.8998
